prompt_id,prompt_text,domain,source,length_type,difficulty
ce6e6c12-72ff-4954-b496-0162ce83047d,What is the capital of Peru?,Factual QA,synthetic,short,easy
0b0c884d-9144-41e2-8c8b-a5a2db45f132,Who discovered radioactivity?,Factual QA,synthetic,short,medium
77667940-8313-49ab-a7e7-1e2f15ca7819,In which year did the Apollo 11 landing occur?,Factual QA,synthetic,short,hard
86a584b4-39a0-4aed-9370-7250b06224b1,Name one major industrial use of carbon.,Factual QA,synthetic,short,easy
7f40db21-4042-4525-a582-de5ec156c437,List two defining characteristics of the planet Jupiter.,Factual QA,synthetic,short,medium
b1c8a6e1-3505-424f-a42d-e110d50b7d5d,What is the capital of Chile?,Factual QA,synthetic,short,hard
82c8e36c-3899-452b-b951-68c882b4e57a,Who discovered neutrons?,Factual QA,synthetic,short,easy
18c2bb0e-8679-4fa3-b731-3484c7d92d7b,In which year did the Reformation occur?,Factual QA,synthetic,short,medium
4ea5784c-8d72-41f4-b3f5-8d2410822744,Name one major industrial use of neon.,Factual QA,synthetic,short,hard
8d20f8bd-0a4f-4910-8efd-dad693bcb530,List two defining characteristics of the planet Venus.,Factual QA,synthetic,short,easy
714f02af-b3d8-4326-82e4-f650b01e31f2,What is the capital of Jordan?,Factual QA,synthetic,short,medium
dd1cf42d-0bf0-4bd7-b380-75a61a5dcb80,Who discovered vaccination?,Factual QA,synthetic,short,hard
6b3d8f27-0318-4801-838e-21001acc7b19,In which year did the Meiji Restoration occur?,Factual QA,synthetic,short,easy
89f3c51d-dfea-47e3-adf3-37b5941ec688,Name one major industrial use of copper.,Factual QA,synthetic,short,medium
0455d035-91f6-4616-87a6-a9884ace86a5,List two defining characteristics of the planet Uranus.,Factual QA,synthetic,short,hard
1eb04b3f-1262-4a35-a362-ca33e5fd6a9d,What is the capital of Spain?,Factual QA,synthetic,short,easy
a9007959-7e87-48a4-a4fa-f2702fbfe145,Who discovered the structure of DNA?,Factual QA,synthetic,short,medium
